MRR,Hits@1,Hits@3,Hits@10,evaluated_queries,model,subset,train_triples,valid_triples,test_triples,entities,relations
0.0342,0.0,0.0,0.0909,22,TransE,full,87,11,11,151,68
0.1051,0.0909,0.0909,0.0909,22,DistMult,full,87,11,11,151,68
